startstationname,num_start,num_end,diff
21 St & Hoyt Ave S,1166,1173,7
Broadway & Moylan Pl,1164,1133,-31
W 113 St & Broadway,1163,1150,-13
Concord St & Bridge St,1162,1176,14
Greenpoint Ave & Manhattan Ave,1156,1189,33
28 Ave & 35 St,1148,1128,-20
Steinway St & 23 Ave,1147,1152,5
Cambridge Pl & Gates Ave,1135,1143,8
Grove St & Broadway,1135,1101,-34
3 Ave & E 112 St,1115,1132,17
35 St & Broadway,1114,1118,4
2 Ave & 36 St,1114,1173,59
Franklin Ave & St Marks Ave,1110,1112,2
Baltic St & 5 Ave,1106,1127,21
Willoughby Ave & Hall St,1094,1106,12
Fulton St & Irving Pl,1085,1105,20
Clermont Ave & Lafayette Ave,1083,1084,1
Henry St & Middagh St,1082,1155,73
5 Ave & E 126 St,1082,1068,-14
E 118 St & 1 Ave,1071,1064,-7
Banker St & Meserole Ave,1067,1073,6
Boerum St & Broadway,1066,1071,5
E 98 St & Park Ave,1066,1064,-2
Washington Ave & Park Ave,1063,1068,5
31 Ave & 30 St,1051,1051,0
Division Ave & Hooper St,1047,1072,25
Verona Pl & Fulton St,1045,1052,7
Union Ave & Jackson St,1045,1057,12
Lenox Ave & W 144 St,1039,1050,11
Melrose St & Broadway,1037,1050,13
14 St & 7 Ave,1035,1015,-20
Madison Ave & E 120 St,1034,992,-42
Adam Clayton Powell Blvd & W 118 St,1031,1041,10
Underhill Ave & Pacific St,1030,1040,10
W 107 St & Columbus Ave,1027,1033,6
N 11 St & Kent Ave,1026,1060,34
Sands St Gate,1023,1017,-6
Park Ave & St Edwards St,1021,1017,-4
Coffey St & Conover St,1017,1043,26
3 St & 7 Ave,1013,998,-15
Suydam St & Broadway,1013,987,-26
Columbia St & Kane St,1013,1020,7
Pacific St & Nevins St,1010,1010,0
E 109 St & 3 Ave,1010,995,-15
Sharon St & Olive St,1009,1033,24
Franklin Ave & Myrtle Ave,1009,1016,7
Grand Ave & Bergen St,1006,996,-10
E 116 St & 2 Ave,1000,1010,10
Adam Clayton Powell Blvd & W 141 St,999,1002,3
Graham Ave & Withers St,998,1006,8
Park Pl & Franklin Ave,995,995,0
E 91 St & Park Ave,995,996,1
21 St & 31 Dr,994,998,4
Harrison St & Hudson St,993,995,2
Putnam Ave & Throop Ave,992,999,7
Union St & Bedford Ave,991,988,-3
Union St & 4 Ave,987,1015,28
48 Ave & 5 St,980,960,-20
Newton Rd & 44 St,980,981,1
Vernon Blvd & 30 Rd,973,975,2
Garfield Pl & 8 Ave,961,949,-12
Greene Ave & Throop Ave,958,987,29
Kingsland Ave & Nassau Ave,956,960,4
39 St & 2 Ave,954,958,4
Columbia St & Degraw St,953,964,11
Pitt St & Stanton St,951,963,12
Carroll St & Smith St,950,1004,54
Front St & Gold St,950,951,1
Bond St & Bergen St,947,1025,78
2 Ave & E 125 St,945,899,-46
Frederick Douglass Blvd & W 129 St,943,946,3
28 Ave & 44 St,936,941,5
McKibbin St & Manhattan Ave,935,939,4
Lewis Ave & Kosciuszko St,933,908,-25
W 146 St & Broadway,932,938,6
Carroll St & 5 Ave,923,1000,77
Crescent St & 30 Ave,920,929,9
9 St & 44 Rd,919,930,11
Grand Concourse & E 144 St,917,931,14
W 120 St & Claremont Ave,917,881,-36
3 Ave & E 100 St,913,905,-8
Van Brunt St & Van Dyke St,909,987,78
Henry St & Degraw St,908,924,16
Dean St & Hoyt St,900,920,20
